EVENT_TIME_UTC,LOCATION,READERDESC,IDHASH,DEVID,MACHINE
2025-01-01T13:29:18Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,0a0004452b3d043f3abd977b0d6d90ac,3,182
2025-01-01T14:08:15Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,afbd455caccb907d91ca3d2e90a55d93,3,182
2025-01-01T14:08:16Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,afbd455caccb907d91ca3d2e90a55d93,3,182
2025-01-01T14:12:18Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,0ed76f3007ec7b91b223fb5f2628648b,3,182
2025-01-01T16:25:43Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,afbd455caccb907d91ca3d2e90a55d93,3,182
2025-01-01T16:25:44Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,afbd455caccb907d91ca3d2e90a55d93,3,182
2025-01-01T16:43:29Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,c6859733cd22c4617dfd4d07f8a79211,3,25
2025-01-01T16:46:35Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 101 GUARD SHACK PLANT ENTRY,c6859733cd22c4617dfd4d07f8a79211,2,25
2025-01-01T17:05:51Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,0ed76f3007ec7b91b223fb5f2628648b,3,182
2025-01-01T17:30:59Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,258e63005841355079c64d9723183c3f,3,25
2025-01-01T17:35:11Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 116 LOAD DOC ENTR,258e63005841355079c64d9723183c3f,1,323
2025-01-01T17:35:11Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 116 LOAD DOC ENTR,258e63005841355079c64d9723183c3f,1,323
2025-01-01T17:39:09Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,258e63005841355079c64d9723183c3f,3,182
2025-01-01T17:39:09Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,258e63005841355079c64d9723183c3f,3,182
2025-01-01T17:42:07Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,1fd102f5e0c3431fc482dc34174be649,3,25
2025-01-01T17:44:35Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,1fd102f5e0c3431fc482dc34174be649,5,274
2025-01-01T17:44:36Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,1fd102f5e0c3431fc482dc34174be649,5,274
2025-01-01T17:47:40Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,1fd102f5e0c3431fc482dc34174be649,3,182
2025-01-01T17:47:41Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 105 CNTRL RM SW DR,1fd102f5e0c3431fc482dc34174be649,3,182
2025-01-01T17:47:48Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,eef5f509db3e936bb04453e7721b1121,3,25
2025-01-01T17:48:26Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,e97286d92b20b4c43f6b110a870d10d6,3,25
2025-01-01T17:48:27Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,e97286d92b20b4c43f6b110a870d10d6,3,25
2025-01-01T17:49:54Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,eef5f509db3e936bb04453e7721b1121,5,274
2025-01-01T17:49:55Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,eef5f509db3e936bb04453e7721b1121,5,274
2025-01-01T17:51:49Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 102 MAIN GATE ENTRY LOWER,2f38113fe5648c38bb5faffa1462c450,3,25
2025-01-01T17:51:56Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 111 ADMIN ADA EXIT,da9401f42fb9b8a1179356d9182da0ca,6,274
2025-01-01T17:52:23Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,e97286d92b20b4c43f6b110a870d10d6,5,274
2025-01-01T17:52:23Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,e97286d92b20b4c43f6b110a870d10d6,5,274
2025-01-01T17:52:46Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 111 ADMIN ADA EXIT,0ed76f3007ec7b91b223fb5f2628648b,6,274
2025-01-01T17:52:47Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 111 ADMIN ADA EXIT,0ed76f3007ec7b91b223fb5f2628648b,6,274
2025-01-01T17:53:27Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 119 CNTRL RM NW DR,eef5f509db3e936bb04453e7721b1121,17,182
2025-01-01T17:53:28Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 119 CNTRL RM NW DR,eef5f509db3e936bb04453e7721b1121,17,182
2025-01-01T17:53:59Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 112 ADMIN ADA ENTRY,2f38113fe5648c38bb5faffa1462c450,5,274
2025-01-01T17:54:04Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 103 MAIN GATE EXIT LOWER,da9401f42fb9b8a1179356d9182da0ca,4,25
2025-01-01T17:54:05Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 103 MAIN GATE EXIT LOWER,da9401f42fb9b8a1179356d9182da0ca,4,25
2025-01-01T17:55:38Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 119 CNTRL RM NW DR,e97286d92b20b4c43f6b110a870d10d6,17,182
2025-01-01T17:57:10Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 119 CNTRL RM NW DR,2f38113fe5648c38bb5faffa1462c450,17,182
2025-01-01T17:57:21Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 103 MAIN GATE EXIT LOWER,0ed76f3007ec7b91b223fb5f2628648b,4,25
2025-01-01T17:59:01Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 111 ADMIN ADA EXIT,fb0680fa151a961c6e5435e7edfb69b0,6,274
2025-01-01T17:59:01Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 111 ADMIN ADA EXIT,fb0680fa151a961c6e5435e7edfb69b0,6,274
2025-01-01T18:00:03Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 103 MAIN GATE EXIT LOWER,0a0004452b3d043f3abd977b0d6d90ac,4,25
2025-01-01T18:04:02Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 103 MAIN GATE EXIT LOWER,fb0680fa151a961c6e5435e7edfb69b0,4,25
2025-01-01T18:04:02Z,DOOR TESTING FACILITY,DOOR TESTING FACILITY 103 MAIN GATE EXIT LOWER,fb0680fa151a961c6e5435e7edfb69b0,4,25
